Window Sizes,GrayLevelNonUniformity,GrayLevelNonUniformityNormalized,GrayLevelVariance,HighGrayLevelZoneEmphasis,LargeAreaEmphasis,LargeAreaHighGrayLevelEmphasis,LargeAreaLowGrayLevelEmphasis,LowGrayLevelZoneEmphasis,SizeZoneNonUniformity,SizeZoneNonUniformityNormalized,SmallAreaEmphasis,SmallAreaHighGrayLevelEmphasis,SmallAreaLowGrayLevelEmphasis,ZoneEntropy,ZonePercentage,ZoneVariance
40,342.85762182056516,0.008642961048187884,2550.4114478045194,18253.283067382592,5.456502558673019,118380.58862083743,0.0007819139536441751,0.0001456958353146782,22196.241120270235,0.5595361899788307,0.7762665316450199,13699.770271093124,0.00011133791137611498,8.47154022677291,0.619828125,2.853602802902608
40,361.81478092367314,0.009737721523405995,2717.261976406795,18924.24588222629,6.9939713639789,159831.08426633652,0.0009328486968660577,0.00014673005170043427,19860.183550436,0.5345081157938422,0.7592685373433706,13875.576979494863,0.00010993739174144395,8.491710576628128,0.5805625,4.027077300721173
40,430.67904464981626,0.011988616096476347,2443.572362990986,20794.620198196193,7.739394276806592,196784.14822959583,0.0007230259496061448,0.00012227476932859396,18597.850128048103,0.5176998699490063,0.7476262752808881,14900.861039296742,9.250098893057798e-05,8.366850360005037,0.5613125,4.565513766142607
40,526.414516586334,0.014925276909167394,1873.094878257396,22627.41431811738,8.40459313864474,232008.86983271904,0.00048528233012859825,9.162481052609438e-05,17894.844627161892,0.507367298757071,0.74036461724264,16004.182058831535,7.096253893243193e-05,8.167122930121387,0.55109375,5.111916907514625
40,557.5854794121926,0.016225388605039796,1798.7947731342194,23288.469256510984,9.167816091954023,257141.48403899316,0.0005036054263999412,8.984214546060644e-05,17115.05528881129,0.4980374011002849,0.733656014736659,16350.63538951976,6.94724228110035e-05,8.129127969752666,0.536953125,5.699431474095852
40,555.6476643372865,0.01611180051431805,1711.8677755135323,23621.395540348538,8.772696958274132,248864.1401397628,0.0004712588350063695,8.641033193425342e-05,17152.45405515122,0.4973599923203299,0.7331888198003546,16565.3888539511,6.683371161966622e-05,8.134058187007023,0.538859375,5.328808207009537
40,492.2492240385468,0.014551101836842556,2292.7037480274803,22561.71249519643,9.423453250169972,253819.0627568063,0.0007991571315061002,0.0001117096115893946,16621.087380649737,0.49132659495254777,0.7287986795256988,15822.779957170409,8.253865607120229e-05,8.280011467759469,0.528578125,5.844289008421305
40,371.81822472721217,0.010323409077025076,2847.2552560631243,19552.722658744482,7.940750201293834,185614.17849904211,0.0010983235973421495,0.0001471074659440013,18799.270511147515,0.5219554796664774,0.7505837960420503,14208.476374827489,0.00010770842309661935,8.467849793157642,0.562765625,4.783326839229991
40,398.1977824881787,0.010821180023049586,2470.9375350708974,21342.497771618022,7.0647046035110606,182901.13430077722,0.0006580147714955719,0.00011453271574781748,19434.87129735312,0.5281502064610337,0.7549192739652393,15501.559677497457,8.654687676174309e-05,8.43180629114271,0.57625632272108,4.053303585091647
40,389.72348665711706,0.010338041451989948,2467.5550072939936,19803.72200116717,6.896068756963234,170790.39511379914,0.000724917466123319,0.00012874051913741125,20379.146214653298,0.5405895860431136,0.7634706377949572,14474.855155245588,9.855914003626209e-05,8.387071348198845,0.58903125,4.013873973741984
40,364.8932137093465,0.00998094077270567,2928.6367094554253,18177.647282474903,7.609890861347411,167389.45220055254,0.0012112836776450712,0.00016898393910468634,19335.747011679752,0.5288915728460776,0.7554060631749817,13275.291739287937,0.00012428525114577637,8.457407509082191,0.571234375,4.545308256798594
40,381.12047859846916,0.010531390162714337,2895.6620656252508,18736.001436900715,7.861560142584763,182893.62353201248,0.0011179857337888885,0.0001653558635187865,19044.2635331178,0.5262445365475089,0.7535413246890224,13563.358617099535,0.00012219379796283157,8.423146515167995,0.565453125,4.7339919846796255
40,483.0307164355433,0.013586979731527758,2257.2772366736062,21918.67936204326,8.102106832437906,219626.61629771313,0.0006159496990081334,0.00011361385269912237,18291.37169137296,0.5145107505097735,0.7453788372917477,15575.027296745982,8.698995485036733e-05,8.25829907257878,0.555484375,4.861276422846971
40,481.68044115594023,0.013449125817560805,2089.8393266559433,21865.250565405557,8.072036856065894,218489.8525757364,0.0005713293673418497,0.00010742220893983992,18606.420298757504,0.5195147368074132,0.7488805253536798,15650.330017291477,8.285445010990726e-05,8.25077907786308,0.559609375,4.8788080603066515
40,479.26735189788565,0.01338623444677501,2043.8466836504258,21926.469262352315,8.077591263301958,221042.10253330728,0.0005407365963471795,0.0001040759320880173,18460.01985867106,0.5155998061243767,0.7461913969420768,15612.26322187384,8.044037860568253e-05,8.255201435582542,0.559421875,4.88222157615668
40,541.6139094337416,0.0158334232593838,1901.3300498059066,23882.133832256557,9.537696962609992,277673.28295378137,0.0004995504258115202,8.812890923911725e-05,16990.771450287953,0.49670451808951244,0.7326996546391861,16727.207748206292,6.78671969459624e-05,8.16604376418886,0.534484375,6.037197843652546
40,536.034581292279,0.015629653058440603,2031.184407290678,24074.714748075578,9.378703055749941,275096.276008864,0.0005161514948846512,8.774013909032656e-05,17179.355085141124,0.5009142490419035,0.7357072818678022,16964.627364362725,6.676457613887076e-05,8.171247209090026,0.535875,5.896348337548343
40,470.79049091611904,0.012998798688942489,2071.3997233661967,22875.467640399802,7.825225026230052,222702.88019769176,0.0004706646383911624,9.146026695962131e-05,18990.484400022087,0.5243382958755892,0.7522524573387737,16458.653269822986,7.076959209125652e-05,8.253225592664739,0.56590625,4.702663393518686
40,444.48309045916966,0.012221146287026936,2206.2327545189214,21433.352955732746,7.877701402254606,211808.1905691504,0.0006104720312026118,0.00011210242875426474,19147.93681605719,0.5264761291189769,0.7537694390498638,15384.364231375019,8.641279565616991e-05,8.29823836595059,0.56828125,4.781185277728996
